,category,id,price
457,Кровля,С-000172738,406.63
458,Кровля,С-000172739,448.4
459,Кровля,С-000172740,397.8
460,Кровля,С-000172741,397.8
461,Кровля,С-000172742,406.63
462,Кровля,С-000172743,448.4
463,Кровля,С-000172744,448.4
464,Кровля,С-000172745,448.4
465,Кровля,С-000172746,497.1
466,Кровля,С-000172747,448.4
467,Кровля,С-000172748,448.4
468,Кровля,С-000172749,1230.2
469,Кровля,С-000172750,1230.2
470,Кровля,С-000172751,1230.2
471,Кровля,С-000172752,1230.2
472,Кровля,С-000111599,219.03
473,Кровля,С-000111600,274.1
474,Кровля,С-000111602,274.1
475,Кровля,С-000172810,822.3
476,Кровля,С-000172811,822.3
477,Кровля,С-000200965,760.5
478,Кровля,С-000125093,2710.8
479,Кровля,С-000114034,2710.8
480,Кровля,С-000112182,2848.4
481,Кровля,С-000112183,2710.8
482,Кровля,С-000112184,2710.8
483,Кровля,С-000112186,2710.8
484,Кровля,С-000112187,2710.8
485,Кровля,С-000112188,2848.0
486,Кровля,С-000112189,2710.8
487,Кровля,С-000112190,2710.8
488,Кровля,С-000112191,2710.8
489,Кровля,С-000112193,2710.8
490,Кровля,С-000112194,2710.8
491,Кровля,С-000112195,2710.8
492,Кровля,С-000112196,2848.0
493,Кровля,С-000112198,2710.8
494,Кровля,С-000112200,2710.8
495,Кровля,С-000112202,1236.0
496,Кровля,С-000112203,2710.8
497,Кровля,С-000112204,2710.8
498,Кровля,С-000112205,2710.8
499,Кровля,С-000112206,1626.5
500,Кровля,С-000112207,859.0
501,Кровля,С-000112208,1626.5
502,Кровля,С-000112209,2710.8
503,Кровля,С-000112210,2710.8
504,Кровля,С-000112211,2710.8
505,Кровля,С-000112212,2710.8
506,Кровля,С-000112213,2710.8
507,Кровля,С-000112214,2710.8
508,Кровля,С-000112215,2710.8
509,Кровля,С-000112216,2710.8
510,Кровля,С-000112217,879.6
511,Кровля,С-000121143,2848.0
512,Кровля,С-000157154,2710.8
513,Кровля,С-000157155,2710.8
514,Кровля,С-000157157,2710.8
515,Кровля,С-000157158,2710.8
516,Кровля,С-000157186,2710.8
517,Кровля,С-000172852,1626.5
518,Кровля,С-000172854,2710.8
519,Кровля,С-000172855,2710.8
520,Кровля,С-000172856,2710.8
521,Кровля,С-000172857,2710.8
522,Кровля,С-000172858,2710.8
523,Кровля,С-000172859,2710.8
524,Кровля,С-000172860,2710.8
525,Кровля,С-000172861,2710.8
526,Кровля,С-000172862,2710.8
527,Кровля,С-000172863,2710.8
528,Кровля,С-000172864,2710.8
529,Кровля,С-000172865,2710.8
530,Кровля,С-000172866,2710.8
531,Кровля,С-000172867,2710.8
532,Кровля,С-000172868,2710.8
533,Кровля,С-000172869,2710.8
534,Кровля,С-000112218,2531.7
535,Кровля,С-000112220,4935.6
536,Кровля,С-000112221,5016.51
537,Кровля,С-000112222,4697.9
538,Кровля,С-000112223,4697.9
539,Кровля,С-000112224,4935.6
540,Кровля,С-000112226,4697.9
541,Кровля,С-000111505,595.43
542,Кровля,С-000111506,331.33
543,Кровля,С-000111507,508.29
544,Кровля,С-000111508,595.43
545,Кровля,С-000111509,595.43
546,Кровля,С-000111326,585.76
547,Кровля,С-000111328,658.39
548,Кровля,С-000111329,585.76
549,Кровля,С-000111496,331.33
550,Кровля,С-000111497,590.59
551,Кровля,С-000111499,590.59
